new_id	phase	P__Actinobacteria	P__Proteobacteria	P__Bacteroidetes	P__Firmicutes	P__Cyanobacteria.Chloroplast	P__Parcubacteria	P__Fusobacteria	K__Bacteria	NA	P__SR1	P__Candidatus_Saccharibacteria	P__Verrucomicrobia	P__Deferribacteres	P__Chloroflexi	P__Acidobacteria	P__Spirochaetes	P__Deinococcus.Thermus	P__Fibrobacteres	P__Tenericutes	P__Planctomycetes	P__Armatimonadetes	P__Gemmatimonadetes	P__Nitrospirae	P__Latescibacteria	P__Elusimicrobia	P__Ignavibacteriae	P__Microgenomates	P__Cloacimonetes	P__Synergistetes	P__candidate_division_WPS.1	P__Caldiserica	P__Chlamydiae	P__Lentisphaerae
2020-023_PSC_0134	BL	955	2911	1874	1685	274	773	0	373	13	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0135	BL	255	3885	265	1367	0	655	0	218	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0137	BL	592	492	566	561	33	19	3	34	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0139	BL	1670	4773	1848	2536	104	391	0	768	21	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0140	BL	48	353	46	76	24	63	0	40	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0141	BL	191	291	193	361	121	68	0	236	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0142	BL	3387	10754	2396	2725	1071	544	0	1369	75	389	750	84	0	0	71	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0
2020-023_PSC_0144	BL	255	1444	88	327	43	64	0	51	5	0	29	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0145	BL	85	263	815	707	0	0	0	17	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0146	BL	5	107	40	24	7	4	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0147	BL	379	2974	475	932	203	141	0	375	24	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0149	BL	762	3719	641	3227	387	2	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0150	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0151	BL	268	267	112	97	129	42	0	70	19	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0152	BL	1126	1917	6261	1302	222	69	24	358	4	0	53	9	0	7	55	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0153	BL	222	1445	4061	204	59	135	0	301	0	24	55	11	0	6	175	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0154	BL	2217	6624	1671	1464	531	532	0	133	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
