new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	P__Verrucomicrobia	P__Actinobacteria	P__Fusobacteria	P__Tenericutes	K__Bacteria	P__Spirochaetes	P__Cyanobacteria.Chloroplast	P__Synergistetes	P__Candidatus_Saccharibacteria	P__Lentisphaerae	P__Elusimicrobia	P__Parcubacteria	P__Deferribacteres	P__Deinococcus.Thermus	NA	P__Acidobacteria	P__Microgenomates	P__Chloroflexi	P__Armatimonadetes
2020-023_PSC_0158	BL	7760	7484	136	0	74	3	0	55	0	5	7	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0159	BL	15558	2964	61236	3040	258	0	0	0	0	9	0	74	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0160	BL	13663	7397	6390	450	395	0	0	0	0	53	0	9	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0161	BL	13518	8518	1094	349	697	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0163	BL	6765	6225	643	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0165	BL	10504	7758	3008	3	121	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0
2020-023_PSC_0166	BL	2741	5129	18837	0	16	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0168	BL	15265	5770	6321	2497	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0169	BL	6485	7530	3045	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0170	BL	10747	18767	9371	112	3544	0	0	7	0	14	0	0	3	0	0	0	0	0	0	0	0	0
2020-023_PSC_0174	BL	2183	2303	430	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0175	BL	8536	4552	493	0	23	0	0	323	2167	0	0	0	44	48	0	0	0	0	0	0	0	0
2020-023_PSC_0177	BL	12834	7729	9318	7	439	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0178	BL	7194	5838	3583	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0179	BL	13191	8800	3269	2	159	0	0	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0181	BL	5443	3186	129	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0182	BL	10864	14193	269	45	204	0	0	32	0	14	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0183	BL	13431	3805	2193	3	88	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0184	BL	8008	7865	1566	7	19	0	117	1336	0	14	156	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0185	BL	14911	10927	5370	3	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0186	BL	29	5117	549	0	1598	0	0	0	0	18	0	5	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0187	BL	10830	12606	3608	68	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0188	BL	21767	6836	4017	0	118	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0190	BL	12926	6977	371	1301	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
