new_id	phase	C__Bacteroidia	C__Negativicutes	C__Gammaproteobacteria	C__Clostridia	C__Betaproteobacteria	C__Verrucomicrobiae	C__Bacilli	C__Actinobacteria	C__Erysipelotrichia	C__Alphaproteobacteria	P__Firmicutes	C__Deltaproteobacteria	P__Proteobacteria	C__Fusobacteriia	P__Bacteroidetes	C__Mollicutes	K__Bacteria	C__Spirochaetia	C__Chloroplast	C__Flavobacteriia	C__Synergistia	P__Candidatus_Saccharibacteria	C__Epsilonproteobacteria	C__Lentisphaeria	C__Cytophagia	C__Sphingobacteriia	C__Opitutae	C__Elusimicrobia	P__Parcubacteria	C__Deferribacteres	C__Deinococci	NA	C__Acidobacteria_Gp16	P__Microgenomates	C__Cyanobacteria	C__Chloroflexia	C__Holophagae	C__Acidobacteria_Gp4	C__Armatimonadia	C__Acidobacteria_Gp6
2020-023_PSC_0130	BL	17170	6070	4367	10282	949	0	902	395	463	0	67	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0133	BL	7595	4248	550	12683	149	1962	4491	1911	78	4	0	734	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0136	BL	20632	3133	5372	5059	1055	301	26	46	427	0	56	778	0	0	0	0	0	0	15	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0137	BL	10444	1013	535	10867	912	73	337	284	1397	13	215	557	2	0	0	0	6	0	12	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0139	BL	11574	7077	3269	3497	1433	55	36	370	82	0	5	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0142	BL	14321	1153	57	1760	2985	0	102	196	6	0	0	352	564	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0143	BL	11254	3306	4738	6461	1456	0	383	71	180	0	99	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0145	BL	178	0	26081	0	0	0	785	335	0	0	0	0	57	0	0	0	420	0	0	473	0	610	0	0	549	201	0	0	95	0	0	0	0	3	0	0	0	0	0	0
2020-023_PSC_0147	BL	16405	412	617	6061	1166	0	19	144	374	49	63	56	812	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0148	BL	28279	5472	705	11268	842	0	569	526	96	0	40	295	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0150	BL	9233	2609	65	2720	143	0	377	128	4	0	6	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0151	BL	11125	4692	78	7558	724	0	57	70	96	0	116	7	9	0	0	0	126	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0152	BL	5856	57	2455	4710	47	0	137	757	135	30	4	294	103	11	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0153	BL	7120	1657	6	3076	79	0	92	28	1604	0	9	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0155	BL	11988	80	4047	9582	1684	253	266	395	486	0	70	286	0	0	0	0	572	0	0	0	0	0	13	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0156	BL	14356	58	1078	13158	359	0	74	87	168	0	173	0	0	0	236	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0157	BL	11508	2584	838	3271	444	890	510	76	140	0	57	1026	0	4	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0158	BL	7760	2011	71	5358	44	0	21	74	94	5	0	2	14	3	0	0	55	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0159	BL	15543	47	57915	2649	203	3040	184	258	84	61	0	3057	0	0	0	0	0	0	9	12	0	74	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0160	BL	13663	2017	3051	5127	3309	450	151	395	102	22	0	0	8	0	0	0	0	0	53	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0161	BL	13518	109	753	7385	195	349	136	697	531	0	357	125	21	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0163	BL	6762	624	58	5023	163	0	440	166	138	0	0	422	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0165	BL	10504	1002	1588	6273	1335	3	136	121	271	0	76	85	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0166	BL	2741	47	18323	4193	0	0	330	16	559	0	0	514	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0168	BL	15265	428	5986	5174	324	2497	12	205	135	0	21	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0169	BL	6485	689	2807	5706	238	0	802	15	135	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
